cement,blast_furnace_slag,fly_ash,water,superplasticizer,coarse_aggregate,fine_aggregate,age,compressive_strength
440.54,201.69,189.08,233.73,30.43,1027.16,604.76,56,67.22
293.11,258.4,53.16,239.09,25.54,830.35,802.18,28,40.17
477.78,182.71,100.81,230.53,28.39,963.51,916.18,365,74.72
406.84,325.64,18.14,245.4,12.33,874.98,855.55,180,55.36
141.44,150.53,84.73,180.51,31.89,821.65,669.77,365,40.41
529.27,232.3,186.02,126.17,4.88,801.29,882.67,56,62.82
434.9,122.91,100.48,130.86,16.6,912.04,879.22,365,67.33
445.87,146.53,194.23,170.74,15.34,1003.39,695.54,56,55.02
156.37,157.98,51.77,153.5,25.55,957.05,840.4,28,38.88
298.17,45.16,100.91,142.09,29.08,904.11,835.6,180,61.01
263.15,32.93,171.91,243.92,23.4,1141.96,927.59,180,45.96
507.78,239.63,89.65,145.4,20.06,1124.14,644.7,1,54.86
383.3,235.33,55.9,244.72,13.68,843.35,668.33,365,62.09
462.02,237.98,171.1,218.91,16.33,943.21,785.36,90,65.08
295.1,7.1,77.98,203.32,16.3,1023.85,607.75,365,54.16
199.99,117.23,106.14,207.88,0.65,1053.05,757.07,90,27.56
344.02,71.01,195.31,163.09,16.1,926.4,906.86,365,64.03
128.08,279.36,37.3,204.04,27.39,1057.47,649.78,7,18.44
464.16,308.97,60.28,144.27,22.7,842.83,774.9,3,55.33
377.93,88.56,6.21,241.9,25.46,914.48,987.89,3,38.63
433.56,239.76,78.37,159.23,12.5,1047.17,793.38,7,55.24
255.99,46.44,40.04,153.17,16.93,1015.86,790.33,3,27.13
527.11,98.78,136.01,212.45,1.07,1088.84,814.64,14,50.59
492.97,49.78,36.26,205.34,12.26,816.17,664.77,3,45.04
442.49,101.78,134.96,178.67,15.18,860.17,649.16,3,42.41
185.64,242.23,52.7,202.22,8.17,816.73,862.3,28,21.75
305.36,326.81,71.04,140.73,1.0,866.28,749.1,180,50.26
119.27,72.71,69.77,207.53,22.09,801.48,706.54,3,2.0
167.89,194.61,143.35,155.18,13.92,973.95,602.62,28,24.76
400.54,251.8,93.3,155.47,13.3,982.27,930.11,56,54.96
427.7,342.1,72.26,141.08,8.0,1026.97,603.0,90,62.47
525.7,219.01,170.52,163.21,17.21,932.79,891.49,1,56.78
243.36,91.58,114.39,163.06,14.02,801.11,743.56,90,45.31
263.0,224.55,42.77,179.04,15.17,1032.49,830.67,1,16.63
306.6,115.06,180.02,144.75,18.59,818.73,689.57,7,44.68
183.37,350.43,68.53,145.09,0.2,1098.83,652.47,7,20.56
157.17,143.48,7.8,190.43,29.05,807.82,804.42,180,39.73
309.31,246.07,98.92,136.75,2.27,983.01,869.64,3,32.59
199.84,8.34,24.79,209.56,14.43,1108.75,668.59,180,32.99
394.72,143.62,47.69,242.71,6.64,997.51,765.42,365,55.42
292.35,314.16,149.42,175.48,16.76,1009.9,768.75,365,60.4
466.38,219.07,26.15,237.14,8.97,1035.16,676.82,7,50.51
408.12,159.38,161.39,132.78,27.52,842.23,817.15,1,48.69
237.44,336.0,187.38,125.58,12.68,1032.85,648.67,3,39.63
466.19,306.58,121.31,213.78,20.44,1103.72,794.92,90,70.95
454.1,115.68,142.07,218.93,7.96,1136.11,635.6,3,43.36
270.49,195.49,142.72,229.6,0.62,952.85,785.19,56,27.33
226.86,175.85,198.56,127.39,12.93,918.85,715.26,14,42.22
400.3,226.96,68.31,221.0,17.17,1059.89,771.8,90,55.85
161.49,119.95,32.57,168.95,14.71,987.29,764.37,56,31.28
187.96,87.67,103.83,159.43,30.78,888.77,954.99,56,38.4
103.24,327.65,106.65,142.49,22.62,859.39,786.95,180,28.79
446.25,331.67,35.58,249.48,31.86,858.73,919.04,365,82.0
392.53,302.75,122.62,128.28,9.44,958.42,680.71,14,47.38
410.27,351.18,2.82,227.51,25.25,858.69,731.54,28,62.59
443.52,267.45,185.53,203.13,17.78,806.8,620.19,56,62.94
301.92,274.52,52.91,215.56,19.58,817.97,759.14,180,52.71
350.25,273.77,7.91,212.52,31.55,1120.81,858.82,28,55.15
161.51,172.54,21.65,231.6,20.93,825.17,926.94,14,12.78
150.39,163.87,48.05,143.89,28.76,825.25,817.5,180,43.45
394.1,86.24,54.78,120.11,23.22,955.66,847.31,365,64.92
307.28,231.49,6.56,197.81,4.08,884.56,661.26,56,39.43
