hours_studied,attendance_pct,sleep_hours,previous_score,practice_tests,extracurricular_hours,final_score
7.5,99.83,7.8,39.96,10,3.91,88.43
10.77,49.4,6.56,45.41,12,3.03,87.82
9.31,88.77,4.81,68.75,2,7.67,91.48
2.7,64.67,5.08,90.88,9,8.42,74.64
3.6,87.0,5.9,60.67,3,8.77,71.9
10.48,93.51,5.66,43.05,10,1.69,100.0
0.06,99.52,4.31,68.65,7,1.97,73.4
9.85,55.96,6.03,92.24,4,4.63,94.06
9.56,67.18,6.24,86.42,5,9.68,88.51
5.62,96.57,5.44,88.43,3,6.2,88.75
3.64,96.74,5.92,56.68,10,6.23,77.83
3.34,62.37,5.66,47.05,3,3.27,65.67
3.06,96.41,5.88,86.59,13,9.9,86.27
5.34,64.35,7.1,81.23,13,1.83,89.11
6.05,62.49,6.49,85.34,3,5.59,85.9
6.64,85.4,4.99,55.43,12,6.75,82.98
11.95,68.27,7.98,48.6,7,8.1,93.11
9.51,66.89,6.57,45.62,13,8.13,97.12
7.47,63.17,6.29,86.59,8,3.87,99.77
11.87,65.97,7.57,89.76,12,2.71,100.0
2.58,48.39,7.76,53.87,13,9.8,66.64
1.92,43.66,8.25,86.85,12,5.53,70.05
7.35,85.24,8.06,54.79,6,2.82,89.69
0.53,73.87,7.35,59.11,6,1.38,63.83
0.43,80.31,7.61,66.82,4,8.03,64.46
6.18,88.14,4.79,44.38,11,8.49,76.29
5.59,53.81,7.5,47.38,1,5.7,64.51
11.01,54.03,5.27,47.33,2,3.84,80.2
7.55,56.67,5.29,46.9,2,6.6,71.07
6.17,58.24,4.6,63.51,9,9.8,82.66
5.96,85.64,5.98,36.53,6,5.78,74.51
2.97,62.45,4.1,80.72,0,7.87,56.22
0.14,59.39,7.28,41.36,6,8.82,44.58
2.31,78.18,7.74,58.86,14,7.57,67.48
8.3,51.19,7.88,71.72,5,4.87,81.5
2.41,46.39,4.64,38.97,13,1.78,61.59
4.43,81.83,7.21,56.6,5,6.97,75.86
0.04,85.39,8.19,66.61,2,8.31,59.06
9.96,57.78,4.18,65.77,0,9.63,81.18
1.85,78.16,4.97,88.01,11,1.52,77.02
3.21,42.04,5.34,81.03,7,1.14,63.54
10.56,64.26,6.31,37.86,12,6.36,81.06
6.12,74.68,4.86,84.16,10,8.27,84.21
10.17,55.21,6.69,65.74,0,0.76,93.25
7.68,60.89,5.72,74.08,8,6.14,79.82
8.9,76.57,7.28,40.4,8,2.66,91.87
1.1,75.39,6.66,60.68,2,9.99,65.11
6.49,49.25,7.43,75.49,6,3.61,80.49
6.09,82.39,5.23,81.83,5,0.82,88.18
10.46,44.8,7.54,82.38,9,7.83,93.45
4.34,98.18,7.67,44.11,9,3.01,78.83
7.18,52.14,7.61,84.13,13,4.19,96.88
0.71,55.21,4.34,66.95,0,1.31,53.56
4.65,52.02,8.73,73.46,10,3.31,85.61
3.88,99.49,6.88,85.35,3,1.33,92.56
1.8,57.2,5.36,56.36,3,2.57,58.82
9.8,76.32,6.17,89.78,5,5.79,100.0
4.55,99.44,6.59,87.28,8,2.99,92.67
11.74,97.0,6.59,82.5,0,6.67,100.0
7.08,42.54,5.24,54.7,8,9.01,65.98
7.26,71.27,5.32,64.33,12,5.76,89.69
7.66,76.08,5.82,41.25,0,0.29,75.01
8.12,82.14,7.9,79.36,13,9.6,96.28
1.81,60.15,6.19,87.91,1,1.98,78.99
5.28,59.67,4.19,40.45,12,3.46,64.91
2.87,40.26,6.26,78.41,5,5.27,61.39
4.83,42.11,5.01,75.12,5,6.19,70.94
1.16,73.0,4.06,32.37,2,3.42,38.27
11.61,44.55,8.89,89.6,8,4.4,100.0
2.58,52.15,5.47,61.14,3,6.27,51.03
8.06,60.0,6.69,47.5,2,4.57,69.66
3.61,44.23,5.79,31.96,10,2.83,57.09
10.49,41.85,4.27,80.82,10,4.11,95.69
7.95,95.62,8.5,51.96,14,3.85,100.0
1.58,66.11,8.68,63.38,8,2.92,73.1
10.14,52.29,4.93,42.66,6,6.01,84.52
11.34,82.51,6.09,69.45,10,5.12,100.0
10.85,40.57,5.87,55.82,9,4.12,84.69
6.84,54.7,4.84,82.43,13,7.09,93.88
1.75,97.64,7.31,73.31,11,8.13,77.64
2.31,93.86,7.91,76.91,13,6.49,82.25
11.13,78.16,7.8,46.32,10,3.41,100.0
6.63,45.59,7.38,34.15,13,9.37,74.29
2.17,59.08,4.09,87.2,9,1.04,75.23
10.61,41.68,5.15,90.82,8,8.06,99.28
7.7,53.15,6.57,71.83,0,4.21,82.72
6.84,41.53,7.51,89.91,4,3.97,76.93
4.52,47.57,5.93,75.91,13,8.43,77.02
4.93,77.99,6.25,69.38,9,6.55,75.75
2.87,46.03,8.2,57.24,2,9.74,58.0
0.46,49.35,4.12,53.11,0,8.78,39.78
10.51,94.17,5.34,61.83,2,1.16,100.0
5.61,60.13,5.45,44.46,2,5.03,66.65
6.57,59.98,8.96,57.8,7,7.68,75.01
3.87,45.19,5.14,63.0,3,0.83,63.37
9.02,87.76,4.24,32.03,8,5.42,75.36
0.3,80.58,6.08,55.58,10,9.93,62.21
4.47,72.83,7.25,48.49,11,2.39,78.84
0.36,77.07,4.77,71.22,11,1.17,71.08
1.47,46.02,8.2,82.77,4,2.89,56.74
11.61,55.62,4.98,69.94,14,3.44,100.0
7.89,75.02,7.52,73.16,14,2.86,100.0
5.14,97.13,4.81,69.9,1,4.32,80.9
6.28,89.03,8.41,46.66,9,8.33,88.22
10.47,78.44,5.01,54.46,6,5.17,84.32
4.13,71.13,7.66,84.87,12,5.89,89.91
7.08,40.91,8.19,91.49,10,1.09,88.96
8.2,93.44,5.27,41.78,7,0.65,86.77
4.26,44.01,4.46,30.69,5,9.51,52.74
6.23,47.74,6.93,92.49,1,3.47,84.53
9.18,81.58,6.5,85.87,5,9.47,94.53
10.91,88.73,6.4,69.49,0,3.36,97.75
1.81,87.19,7.91,83.1,14,6.4,79.3
11.2,67.14,6.32,68.63,9,6.62,91.71
0.06,50.62,6.49,88.81,8,0.9,70.4
9.04,42.12,6.44,45.82,6,0.71,77.12
9.73,91.08,6.27,58.87,9,4.42,89.36
1.64,98.66,6.03,73.59,6,1.27,72.66
5.03,54.65,4.8,44.02,13,2.96,70.76
9.78,91.96,5.48,76.46,4,1.96,100.0
0.17,64.15,5.32,47.05,6,3.13,57.99
7.54,58.68,5.24,76.15,2,4.56,84.9
9.52,70.31,7.91,82.27,10,3.11,94.07
6.16,40.49,4.57,57.57,7,3.35,69.18
8.71,66.56,5.03,94.36,4,4.86,96.82
2.72,51.97,6.63,71.04,3,6.83,65.49
2.38,82.75,5.56,79.18,12,0.42,84.56
4.36,70.15,5.2,31.34,13,9.98,64.43
2.15,92.13,5.87,37.33,3,4.31,68.91
4.15,93.8,6.51,76.25,2,9.23,85.78
11.38,59.01,7.37,91.3,8,0.07,100.0
6.88,56.82,8.86,70.83,14,0.57,87.94
4.08,96.35,8.26,89.33,8,0.99,100.0
3.26,70.24,6.15,33.85,12,9.13,60.69
11.42,45.79,6.26,87.96,11,4.12,100.0
5.33,42.75,6.08,87.03,5,8.46,85.27
11.76,99.43,5.19,70.88,4,6.95,98.84
6.19,74.75,8.76,57.92,11,0.88,89.1
6.25,43.27,4.34,75.82,8,3.62,75.87
10.76,70.68,5.02,45.85,8,3.31,91.83
8.91,70.25,7.31,73.4,0,4.53,89.31
6.97,66.12,6.95,75.13,6,7.54,94.58
5.12,97.08,5.39,65.09,11,0.84,91.59
10.54,96.93,8.68,46.9,12,9.26,100.0
4.94,47.5,6.05,30.14,8,4.77,65.51
11.07,49.1,6.98,42.73,12,3.66,88.03
0.82,64.45,4.46,84.2,12,6.98,69.01
5.16,90.04,8.45,43.8,3,2.77,86.14
6.23,77.43,4.52,34.83,10,7.12,68.22
11.41,83.79,5.97,46.03,13,4.16,97.44
3.01,74.56,8.43,63.75,7,4.78,74.18
9.67,52.6,8.72,68.11,0,1.89,81.2
8.12,89.07,8.52,87.01,14,2.03,99.02
8.61,40.84,8.14,85.56,0,8.61,88.18
7.56,81.91,5.17,92.97,1,5.76,87.26
11.66,51.66,4.16,87.48,7,4.22,97.03
3.99,68.27,6.26,59.27,4,7.75,65.81
4.78,98.51,4.32,39.22,4,9.12,63.15
2.43,72.34,8.8,92.13,14,1.59,84.11
0.61,43.42,4.04,44.87,6,9.98,44.87
2.55,65.73,5.63,70.44,1,0.14,77.99
10.99,79.62,5.02,47.19,7,6.14,94.32
10.08,43.4,4.07,83.09,4,2.64,92.66
1.35,55.16,6.5,43.05,7,2.52,47.79
7.25,41.1,4.38,57.35,12,4.95,76.76
5.75,72.4,8.5,44.28,13,6.04,74.42
7.14,62.89,7.44,85.94,10,4.37,97.64
7.91,70.22,5.85,70.26,13,7.14,91.31
3.68,57.75,8.21,71.0,3,9.5,68.89
11.54,79.41,7.98,50.44,5,1.69,96.29
5.59,50.39,5.63,41.47,11,2.38,66.93
7.54,94.4,8.24,85.73,4,6.1,90.04
7.62,97.6,8.65,79.7,8,4.1,100.0
2.21,69.58,7.1,77.74,9,3.15,69.1
0.74,67.92,5.76,94.81,4,5.04,64.26
4.94,91.58,8.5,66.37,2,6.97,78.51
9.17,57.39,8.71,41.61,0,9.09,70.37
9.78,88.19,5.74,69.62,6,9.41,96.68
8.76,57.24,4.43,48.67,6,8.2,81.13
1.36,83.2,8.34,63.34,10,3.47,75.05
10.96,60.04,7.32,59.86,10,8.84,95.24
9.62,76.16,5.16,66.63,0,7.1,85.82
10.53,95.55,6.83,89.89,7,1.74,100.0
6.28,43.26,5.54,82.66,11,9.53,72.5
10.99,88.44,8.6,56.98,14,2.47,100.0
0.56,72.51,5.71,83.13,11,6.82,67.51
0.36,62.74,4.98,85.93,4,6.95,56.77
0.24,61.02,4.22,80.31,5,9.08,59.37
3.03,44.16,5.71,65.84,5,6.66,59.68
2.98,55.5,8.95,88.46,3,9.83,75.61
2.25,77.39,5.09,61.98,0,0.6,68.81
6.8,45.86,6.29,36.89,8,0.37,58.2
0.47,80.16,8.86,47.69,4,1.96,60.14
7.08,97.74,4.03,72.74,4,5.75,97.8
1.99,98.85,5.48,54.64,5,4.24,73.08
8.13,93.35,8.11,57.48,12,0.83,100.0
0.25,88.4,4.48,56.14,10,2.02,65.89
